# 2021/11/14 - 18:40 | PDB: 45.21 | UniProt: 2021.04
PDB	CHAIN	SP_PRIMARY	SF_DOMID	FA_DOMID
1ou5	A	Q96Q11	8034365	8021985
3q5w	A	P38937	8093284	8050971
6s13	j	A0A0H2K0A0	8094879	8094878
6v3a	j	A0A1T1GZ10	8095211	8095210
6vu3	P	A0A069XEJ0	8096068	8096067
2mew	A	B1LBP1	8097226	8097225
6zvk	I3	A0A5F9CX53	8102028	8102027
7nhn	k	P66330	8103148	8103147
6wua	j	Q839G5	8103478	8103477
7oe0	J	A0A6D2XQX6	8103879	8103878
4z3u	B	G3G955	8093307	8050815
4m0q	A	Q05322	8095829	8048157
4or8	A	P35256	8095831	8048159
1m5h	A	O28076	8041626	8029247
4uxv	A	O34894	8095838	8095837
2kyw	A	Q03HU7	8095847	8048262
3nz3	A	Q8CYK3	8095863	8095862
1jsd	A	Q91CD4	8034559	8022179
3lzf	A	Q9WFX3	8087726	8087725
3s12	A	Q80A30	8087752	8087751
6n4f	A	A0A218KIQ1	8087814	8087813
4uo0	C	C3TUR9	8087824	8087823
6fyu	A	A0A097PHH8	8087864	8087863
4lki	A	V5IRV5	8087876	8087875
5tg8	A	L0L3X3	8087880	8087879
4nrk	A	P03460	8087892	8087891
2rft	A	P03462	8087894	8087893
6cnv	A	U3RVK6	8087898	8087897
3rgb	I	G1UBD1	8095934	8095931
3chx	I	Q9KX50	8095939	8095936
6cxh	A	G4SZ64	8095949	8095946
1g73	A	Q9NR28	8036712	8024333
2ond	A	Q99LI7	8035158	8022778
1qqe	A	P32602	8038649	8026270
1iyg	A	Q9CQ92	8042587	8030208
1kt1	A	Q9XSH5	8042826	8030447
1xnf	A	P0AFB1	8044044	8031666
5c6g	A	Q74ZR5	8052239	8044717
3ph0	C	Q1EHA2	8053886	8044952
4eqf	A	Q8C437	8081746	8081745
4ler	A	A6KZT0	8085975	8085974
4mru	A	Q8A893	8087086	8087085
3gzs	A	Q5L9X2	8087088	8087087
5ngm	A4	A0A077UGV8	8083306	8083305
5hl7	4	Q2FW29	8083312	8083311
7jil	f	A0A2W5T053	8101996	8101995
2f5g	A	Q97Y68	8040637	8028258
2kj1	C	Q9WD75	8101154	8046434
4w5x	A	P08586	8101826	8046465
3wo7	A	Q9KDP2	8101840	8049834
6so5	F	P49069	8101856	8101855
2zkt	A	O57742	8055764	8051599
3ke4	A	Q813T7	8064685	8064684
1wvt	A	Q96YJ2	8064695	8064694
1slm	A	P08254	8032420	8020040
1l6j	A	P14780	8041107	8028728
4igl	A	B6A880	8102242	8047403
1ign	A	P11938	8017605	8002443
1ofc	X	Q24368	8017608	8002284
1gdt	A	P03012	8017624	8003598
3jbp	U	Q8IDB0	8052964	8050310
3jam	N	Q6CJK0	8052967	8050309
2ckx	A	A0ZPR8	8055986	8002293
1ui5	B	O66122	8056377	8056376
2zoy	A	Q8NMG3	8056415	8056414
2np3	B	Q9RCV4	8056451	8056450
2cu7	A	Q5VVJ2	8057556	8002302
2cue	A	P26367	8057586	8002345
1x41	A	O75478	8057589	8002347
1pdn	C	P06601	8057628	8002438
2roh	A	Q9LL45	8059561	8059560
2m34	A	Q14549	8070986	8070985
3iwf	A	A0A0H2VHQ2	8085427	8085426
2hyt	A	Q6D668	8086620	8085364
6el2	A	Q4J9S1	8090128	8088260
3bcg	A	P0ACS9	8090169	8050805
2wui	A	Q9RG61	8090171	8050806
3s5r	B	Q2LS68	8090213	8085285
1ahd	P	Q24645	8099250	8099249
3vw4	A	Q06B24	8102533	8051154
7c4p	B	Q4FZZ9	8103406	8103405
1vio	A	P45124	8035894	8023514
2apo	A	Q57612	8037236	8024857
1r3e	A	Q9WZW0	8040284	8027905
1v9f	A	P33643	8041224	8028845
1p0f	A	O57380	8057521	8057520
1h2b	A	Q9Y9P9	8057534	8057533
1yb5	A	Q08257	8057568	8057567
1g31	A	P17313	8057791	8057790
1e3j	A	O96496	8058525	8058524
1wnr	G	P61493	8098814	8098813
2yvr	A	Q13263	8089238	8089237
5vmd	A	Q86XK2	8095826	8095822
1u3e	M	P34081	8040701	8028322
2ebe	B	Q5SM82	8102272	8046529
2i0x	A	Q8U1T8	8034353	8021973
1zpw	X	Q746F4	8036120	8023740
1phz	A	P04176	8035514	8023134
2fgc	A	Q9WZ19	8044616	8044614
6igz	H	A0A4V8H009	8102613	8102612
1lcs	A	P11261	8032493	8020113
2v4j	B	P45575	8037239	8024860
1vlr	B	Q9DAR7	8041506	8029127
3ufi	A	A7M4D9	8102549	8048302
3up6	B	A7M1U4	8102572	8048038
4h40	B	Q5LBF9	8102577	8051206
1v64	A	P25976	8041185	8028806
1wxl	A	Q05344	8073198	8073197
2crj	A	Q9Z104	8073206	8073205
2cs1	A	P54277	8073222	8073221
1sj7	A	P26039	8039487	8027108
4ll7	C	P38272	8102720	8046423
1djn	A	P16099	8017577	8001449
1oyb	A	Q02899	8058037	8058036
1vyr	A	P71278	8058068	8058067
1jue	A	A2RJT9	8058084	8058083
3gye	A	Q4QEW7	8059675	8059674
5ndy	C	O26652	8064082	8064081
4kjm	A	Q8NWQ6	8044176	8031798
2ozn	B	P26831	8055974	8049697
5cbo	A	P38507	8091649	8091647
6sow	A	P02976	8099308	8099307
1sa0	E	P63043	8041515	8029136
1pjq	B	P25924	8001041	8001040
1ve2	A	Q53WA2	8057824	8057823
3nei	A	O68100	8067842	8067841
2ybq	A	P95417	8067844	8067843
1t0l	A	O75874	8039863	8027484
1itw	A	P16100	8042476	8030097
1vmi	A	P77218	8043088	8030709
1lwd	A	P33198	8043127	8030748
1w0d	A	P9WKK9	8043202	8030823
5yzh	A	O88844	8067340	8067339
1zor	A	Q9X0N2	8067354	8067353
3blx	P	P28241	8073661	8073660
1yxo	A	Q9I5U4	8078252	8078251
4y1p	A	Q4JB37	8079803	8079802
6kdy	D	O43837	8098166	8098165
6lky	A	Q602J2	8102184	8102183
2j12	A	Q80S15	8042969	8030590
3l89	E	Q2KS96	8071495	8071494
2vtw	D	Q64762	8093010	8046183
6itx	D	O11424	8098100	8098099
6stt	A	E1CIQ3	8102839	8102838
7op2	I	G9G864	8103330	8103329
2gmh	A	P55931	8001550	8001420
1y5i	B	P11349	8034110	8021730
1jb0	C	P0A415	8034277	8021897
1hfe	L	P07598	8035153	8022773
3mmc	B	Q59110	8039720	8027341
2fug	9	Q56224	8041354	8028975
1dwl	A	P07485	8068727	8068726
2vpw	B	Q72LA5	8087201	8087200
6jo6	C	Q00914	8093860	8093859
6l35	C	Q6YXQ2	8102489	8102488
7coy	bC	B0CB42	8102829	8102828
1nek	A	P0AC41	8056068	8056066
3jbn	A5	O97250	8052932	8052930
3jcs	c	E9BI29	8052944	8052942
6vyu	f	A0A659KGZ9	8096918	8096917
7m4v	Y	B7IA21	8104261	8104260
1uqr	A	P43877	8041969	8029590
4zc1	A	A3M692	8077703	8077702
1vbk	A	O59053	8033125	8020745
2fqh	A	Q9HJM9	8102742	8046539
1khy	D	P63284	8042763	8030384
3wdb	A	P9WPC9	8075782	8075781
7aa4	A	A0A655JDN0	8103849	8103848
1xzp	A	Q9WYA4	8002420	8002419
1v5v	A	O58888	8017553	8002408
3gee	A	Q8KAS1	8056836	8056835
1x31	C	Q50LE9	8090858	8045654
1gpj	A	Q9UXR8	8091374	8001493
1xhc	A	Q8U1K9	8056197	8056195
1q1r	A	P16640	8056203	8056201
1d7y	A	Q52437	8056221	8056219
1gv4	A	Q9Z0X1	8056228	8044629
6q68	B	Q2LKY9	8094122	8094121
2bw0	A	O75891	8057645	8002497
3auf	A	E5RXD0	8073623	8073622
4ds3	A	Q8YGB8	8073625	8073624
3dcj	B	P9WHM5	8073639	8073638
1f66	C	P0C0S5	8036779	8024400
1taf	B	P49847	8036817	8024438
1n1j	A	P25208	8043979	8031601
1n1j	B	Q13952	8043980	8031602
3b0b	A	E1BSW7	8053231	8051473
4wv4	B	Q7Z7C8	8053232	8049644
3b0d	C	P0DJH6	8053234	8051311
3ksy	A	Q07889	8057963	8018971
1f1e	A	O93641	8057984	8018998
4e45	A	Q8N2Z9	8058042	8019160
6g0l	D	A0A1L8G0X3	8066273	8066272
2nqb	D	P02283	8066277	8066276
2xql	B	P0C1H4	8066279	8066278
5gt0	C	Q96QV6	8067120	8067119
4jjn	G	P04912	8067122	8067121
2pyo	C	P84051	8067128	8067127
5gt3	G	P20671	8067132	8067131
1m19	A	P02302	8070525	8070524
3wtp	E	P84243	8070527	8070526
5b40	A	Q71DI3	8070531	8070530
2yfw	H	Q6CMU6	8070543	8070542
6mzd	H	P49848	8081687	8081686
6k09	D	P09588	8093844	8093843
6y36	B	A0A229Y8Y1	8096606	8096605
7lv8	G	D2XB49	8103094	8103093
7cvo	B	O23310	8103342	8103341
1mwp	A	P05067	8037154	8024775
1ml6	A	P10648	8032784	8020404
1z6n	A	Q9I4A4	8035229	8022849
1fvk	A	P0AEG4	8035549	8023169
1zma	A	Q8DP51	8035971	8023591
2fa8	A	A9CKJ2	8040711	8028332
1xfl	A	P29448	8041852	8029473
1fb6	A	P07591	8044363	8031985
1fov	A	P0AC62	8044366	8031988
1jhb	A	P35754	8044368	8031990
1ljr	A	P0CG30	8044374	8031996
6gsw	A	P04905	8044382	8032004
2trc	P	P20942	8044386	8032008
1f3b	A	P13745	8044396	8032018
4wvm	B	Q91453	8052084	8052082
2fy6	A	Q9JWM8	8057701	8003930
1st9	A	P35160	8057859	8057858
1n8j	A	P0A251	8057925	8057924
2djj	A	P55059	8058570	8058569
2m46	A	A0A0H2WW65	8064360	8064359
3rdw	A	A0A5P8YJ13	8064364	8064363
3d6i	A	Q03835	8065027	8065026
3zij	B	Q819J1	8066768	8066767
3qmx	A	P73492	8075850	8075849
2lv3	A	Q99MD6	8075854	8075853
2qgv	A	A0A2S4MV65	8078289	8078288
4kso	A	Q79PF5	8084495	8084494
6slo	B	A0A064CXU8	8096058	8096057
6vw8	C	Q0KDY3	8099132	8099131
7a23	Q	Q9FIJ2	8101737	8101736
6yt3	B	A0A0U0X1R7	8101906	8101905
6zom	A	Q72B01	8103999	8103998
2v0x	A	Q61033	8102759	8046652
1t23	A	P12770	8042376	8029997
4xvs	G	H9DP89	8080357	8080356
4ye4	G	Q69994	8080369	8080368
4r4n	I	Q0ED04	8080375	8080374
4xnz	A	Q0ED31	8080391	8080390
4lst	G	R4GRV3	8100784	8100783
7lu9	e	M4M097	8102861	8102860
1xhj	A	A0A0H2VHU6	8043902	8031524
3lno	A	A0A6L8PPP9	8085644	8085643
1tg6	A	Q16740	8032508	8020128
2f9y	B	P0A9Q5	8040707	8028328
1xny	A	Q9X4K7	8044079	8031701
1mj3	A	P14604	8057686	8003106
5z7r	A	P52046	8059906	8059905
3rsi	A	B1MIA8	8059928	8059927
3qka	A	B2HSK3	8059932	8059931
4q1k	A	P40802	8059942	8059941
2vx2	G	Q96DC8	8067189	8067188
3he2	A	P9WNP1	8067195	8067194
5dkp	K	Q9JZ38	8068487	8068486
4hnk	B	Q8IL98	8068501	8068500
4f47	A	B2HI06	8077573	8077572
4jwv	A	Q2G8B7	8077575	8077574
2uzf	A	Q5HH38	8077585	8077584
4mou	C	A1RAA6	8077597	8077596
3p85	A	A0A0H2ZUQ2	8086346	8086345
2f9i	A	Q2FG38	8099262	8099261
7mcm	B	A0QXQ8	8102807	8102806
7ekq	G	A8IJ60	8105383	8105382
7ekq	D	A8IL21	8105385	8105384
5gup	Ao	F1SJ34	8097744	8097743
7o3c	e	P12787	8105431	8105430
1r1u	A	O85142	8002650	8002649
1bja	A	P22915	8002846	8002845
1cf7	A	Q16254	8003054	8003053
1xmk	A	P55265	8003084	8003081
1fli	A	Q01543	8003108	8003107
1pp7	U	Q95VR4	8003145	8003144
2dk8	A	Q921X6	8003159	8003158
1lva	A	Q46455	8003482	8003478
3bwg	B	Q45591	8017598	8002705
2hs5	A	Q0SB06	8017669	8002696
1ixc	A	Q9WXC7	8017744	8002826
4wnr	A	Q46A62	8053533	8044855
2bv6	A	P0C1S0	8054304	8054303
2frh	A	Q7A1N5	8054312	8054311
2fbk	A	Q9RV71	8054326	8054325
4kzy	K	G1T168	8055712	8051609
3j7p	SK	F1RZ28	8055718	8051615
2g9w	A	P9WMJ5	8056266	8002971
1fsh	A	P51141	8056373	8002795
2axl	A	Q14191	8057669	8003043
1uss	A	P53551	8057731	8017604
1ghc	A	P08287	8058030	8058029
5xxu	K	B9PX63	8059230	8059229
2lkp	A	Q7D4Y3	8067772	8067771
5t0h	X	O00231	8067905	8067904
5kvr	A	P0ACL9	8085686	8085685
3o2p	E	Q12018	8088860	8088859
4v6w	AT	P39018	8089324	8089323
3g2b	A	Q8P6M8	8090247	8047160
2l01	A	A6L747	8090990	8045580
3ke2	C	A1S9Q7	8092028	8045764
5a5t	C	G1U971	8093052	8093048
6o8o	B	D5AT91	8095561	8095560
2zkz	C	O31178	8098140	8098139
4nc7	B	P12464	8103637	8046771
1s2d	B	Q8RLY5	8041249	8028870
2eg9	A	P56528	8079687	8079686
1smy	F	Q5SKW1	8039616	8027237
1h3l	A	Q7AKG9	8042402	8030023
5yix	A	A0A0H3CAV3	8069327	8069326
1x1i	A	Q9AQS0	8033534	8021154
2xvl	A	B3PBD9	8090414	8045387
5djw	A	Q8A2K6	8090448	8090447
5f0e	A	Q8BHN3	8090455	8090454
3brv	C	O14920	8102935	8047312
1j5m	A	P29499	8039856	8027477
1z3s	A	O15123	8070784	8070783
1n57	A	P31658	8033034	8020654
1wl8	A	O59071	8033174	8020794
1i7q	B	P00900	8033742	8021362
2ghr	A	Q72X44	8041886	8029507
2nv0	A	P37528	8043266	8030887
4gud	B	Q9KSX0	8065937	8065936
3l18	A	B6YXG0	8066087	8066086
3l3b	A	Q2GI86	8075840	8075839
2ywj	A	Q59055	8080562	8080561
5fmr	A	Q944U2	8091279	8045649
4aul	A	M4GGR6	8105277	8105276
5xy4	C	M4GGR7	8105279	8105278
6nsz	A	Q9C169	8105283	8105282
1vct	A	O57975	8003450	8003449
5c37	A	P49327	8055961	8055960
1yb1	A	Q8NBQ5	8057149	8057148
1hdo	A	P30043	8057151	8057150
1yxm	A	Q9BY49	8057199	8057198
1g0o	A	Q12634	8057207	8057206
2bd0	A	Q8KES3	8057214	8057213
1vl0	A	Q97GQ1	8058094	8058093
1bsv	A	P32055	8058098	8058097
1db3	A	P0AC88	8058100	8058099
1qyd	A	Q9LD14	8058112	8058111
