# 2021/11/14 - 18:08 | PDB: 45.21 | UniProt: 2021.04
SP_PRIMARY	PDB
A0A068N621	7lg5;7lgj;7lgq
A0A068PC91	5y33
A0A068PS59	6k0m;6k0n;6k0p;6k0q;6k0s;6k0u;6k0v
A0A068QVX9	6qsp
A0A068QW34	6qsr
A0A068QWX2	6qsr
A0A068QZ94	6qsp
A0A069AL86	6i3g
A0A069AXA0	6yl7
A0A069B2G5	5l03
A0A069CUU9	6rim
A0A069PXX1	6spc;6spe;6spf;6spg
A0A069Q263	6spc;6spe;6spf;6spg
A0A069Q726	7okb
A0A069QB25	6spb;6spd;6spf;6spg
A0A069QC44	6spb;6spd;6spf;6spg
A0A069QC99	6spc;6spe;6spf;6spg
A0A069QCW3	6xrw
A0A069QEB6	6spb;6spd;6spf;6spg
A0A069QEE3	6spb;6spd;6spf;6spg
A0A069QEY1	7e6g
A0A069XEJ0	6vu3;6vz3
A0A069XF36	6vu3;6vz2;6vz3
A0A069XKC0	6vz7;6vzj
A0A069XLE9	6lkq
A0A069XRX8	6vu3;6vz3;6wd0;6wd3;6wd4;6wd5
A0A069XYI1	6o7k
A0A070UPX4	6vyu;7d7d
A0A071L356	6spb;6spd;6spf;6spg
A0A071L394	6spc;6spe;6spf;6spg
A0A071L3R7	6spc;6spe;6spf;6spg
A0A071LDC0	6jf9;6jfa;6jfc;6jfd;6jfe;6jff;6jfn
A0A071LFT4	6spb;6spd;6spf;6spg
A0A072TMB0	6mt1;6mt2
A0A072U2X9	7bgm;7bgn
A0A072VQG6	7oj5
A0A072ZBM5	6spb;6spd;6spf;6spg
A0A072ZBZ2	6spb;6spd;6spf;6spg
A0A072ZCA1	6spb;6spd;6spf;6spg
A0A072ZCW8	6qlh;6qli;6qlj;6qlk;6qll;6qlv
A0A072ZDF7	6spc;6spe;6spf;6spg
A0A072ZDZ0	6spb;6spd;6spf;6spg
A0A072ZDZ9	6spc;6spe;6spf;6spg
A0A072ZG36	6xrw
A0A072ZHB4	7e6g
A0A072ZIQ9	6spb;6spd;6spf;6spg
A0A072ZJG4	6spb;6spd;6spf;6spg
A0A072ZKF0	6spb;6spd;6spf;6spg
A0A072ZMU2	6spb;6spd;6spf;6spg
A0A072ZPM2	5gm8;5gmb;5gmc
A0A072ZPV8	6spc;6spe;6spf;6spg
A0A073FNB4	6wd0;6wd2;6wd3;6wd4;6wd5
A0A073FR56	6lkq;6vz7;6vzj
A0A073FR78	6osk
A0A073FRE3	7nso;7nsp;7nsq
A0A073G207	6vyq;6vyr;6vys;6vyt;6vyu;6vyw;6vyx;6vyy;6vyz;6vz2;6vz5;6vzj;6x6t;6x7f;6x7k;6x9q;6xdq;6xdr;6xgf;6xii;6xij;7m8e;7mkd;7mke;7mki;7mkj
A0A073G231	6vz7
A0A073KP86	6anw;6b48
A0A073UC57	6s0k;6ysr;6yss;6yst;6ysu;6ztj;7pjs;7pjt;7pju;7pjw;7pjx;7pjz
A0A073UEE9	6u48
A0A074HTA6	6pj6
A0A074MDU6	6keu;6kf1;6kf5;6kf7;7ci0;7cih;7cip
A0A074W9U7	6ub8;6uba;6ubb
A0A074Z863	5zfx;5zg4;5zg5;5zga
A0A075B5G0	3wtg
A0A075B5G1	4lm6
A0A075B5G2	4lm6
A0A075B5G3	4ov6
A0A075B5G4	4oyl;4oyy
A0A075B5G5	4p99
A0A075B5G8	4plc;4plf;4plg
A0A075B5H0	4plt;4plv;4ply
A0A075B5H2	4plh;4plw
A0A075B5H4	4tkl;4tkm
A0A075B5H6	4cvu;4uoj
A0A075B5I3	4mvb;4mxq;4n0c;4n5e
A0A075B6N1	5hhm;5hho;5nqk
A0A075B6T6	1ao7;4zdh
A0A075BSX9	6cr0
A0A075C6T6	4nrr;4nrs
A0A075DN54	4z0y;4z0z;4z10;4z11;4z12;4z13;4z14
A0A075E2Q1	5weg
A0A075E3D7	6b7n
A0A075ETL7	6n6b
A0A075EV12	6wzt
A0A075ML49	5wpn
A0A075Q0W3	6mka;6mkf;6mkg;6mkj
A0A075R4X6	6lwy
A0A075X7F9	6gem
A0A076FT28	6qi5
A0A076FT36	6qi5
A0A076FYU8	6qi5
A0A076FYV2	6qi5
A0A076FYV7	6qi5
A0A076JB57	5f4j
A0A076MAJ9	5map;5mjh;6gzw
A0A076MF68	6i7z;6i8e;6i8i;6i8j;6i8k;6i8o;6q31;6q34
A0A076ML24	6dk2
A0A076MPD7	4yhe;4yhg
A0A076MY51	5ncb;5omu
A0A076MZ01	5ogx
A0A076N502	7k1s
A0A076NBW8	5wpp;5wpr;5wps;5wpu;5yvl;5z54;6al6;6al7;6al8
A0A076U926	5jx5;6idw
A0A076V769	6jim
A0A076YHT9	7dab
A0A076YIY5	5gzw
A0A076YWK5	6zz9;6zza
A0A077D153	5opg;7nks;7nrh;7o9s
A0A077E909	6b1z
A0A077E919	5viu
A0A077EA44	7n7s
A0A077EAN3	6auj
A0A077EBQ3	6wng
A0A077EBU6	6n0w
A0A077ECF2	6an0
A0A077EDR1	6d9n
A0A077EDS4	6aph
A0A077EEP0	6bn2
A0A077EER2	6mtk
A0A077EEZ5	6phe
A0A077EFA5	6cy1;6cy5
A0A077EGR8	6n7l
A0A077EJ65	6ude
A0A077EJG6	6ojm
A0A077EJK0	6udg
A0A077EJP9	7miw
A0A077ELH4	6uzi
A0A077EMQ8	5vpr
A0A077ENB9	6c46
A0A077EQ93	6bzb;6bzc
A0A077GFB1	7krk;7krm
A0A077JBW9	5hrm;5ioj
A0A077JG85	6lta;6ltb;6ltc;6ltd
A0A077K7L1	5gm1;5gm2
A0A077K887	4yzj;4yzk;4yzl
A0A077KEB8	6j82;6j83;6j84
A0A077KT11	5jjq
A0A077KT80	6bn3;6bpf
A0A077KUW8	6akd
A0A077L6X8	5xf9;5xfa
A0A077L7R5	5xf9;5xfa
A0A077L885	5xf9;5xfa
A0A077LAI5	5xf9;5xfa
A0A077LQB4	4yy8
A0A077TLQ4	6zyv
A0A077UDU1	5ngm
A0A077UG91	5ngm;5t7v;6s0x;6s0z;6s12;6s13;7asm;7aso;7asp
A0A077UGA7	5ngm;5t7v;6s0x;6s0z;6s12;6s13;7asm;7asn;7aso;7asp
A0A077UGV8	5ngm;5t7v;6fxc;6s0x;6s0z;6s12;6s13;7asm;7aso;7asp
A0A077UGW7	5ngm;6s0x;6s13;7aso;7asp
A0A077UHS1	5ngm
A0A077UKD6	5ngm;5t7v;6s0x;6s13;7aso;7asp
A0A077UKF9	5ngm;5t7v;6s0x;6s0z;6s12;6s13
A0A077UL47	5ngm;5t7v;6s0x;6s0z;6s12;6s13;7asm;7asn;7asp
A0A077ULC5	6s0x;6s0z;6s12;6s13;7asm;7asn;7aso;7asp
A0A077URJ8	5ngm;5t7v;6s0x;6s0z;6s12;6s13;7asm;7asn;7aso;7asp
A0A077UU26	5ngm;6s0x;6s13;7aso;7asp
A0A077UUA0	5ngm;5t7v;6s0x;6s0z;6s12;6s13;7asm;7asn;7aso;7asp
A0A077UVB6	5ngm;5t7v;6s0x;6s0z;6s12;6s13;7asm;7asn;7asp
A0A077UWR7	5ngm
A0A077UXT4	5t7v
A0A077UZF4	5ngm;6s0x;6s13;7aso;7asp
A0A077V0P8	5ngm;7aso
A0A077V2P0	5ngm;6fxc;6s0x;6s0z;6s12;6s13;7asm;7asn;7aso;7asp
A0A077V4G0	5ngm;5t7v;6s0x;6s0z;6s12;6s13;7asm;7asn;7aso;7asp
A0A077VHU6	5ngm;6fxc;6s0x;6s13;7aso;7asp
A0A077VLD5	5ngm;5t7v;6s0x;6s13;7aso;7asp
A0A077VMP6	5ngm;5t7v;6s0x;6s0z;6s12;6s13;7asm;7asn;7aso;7asp
A0A077W1J0	5ngm
A0A077W1J5	5t7v;6s0x;6s0z;6s12;6s13;7asm;7asn;7aso;7asp
A0A078GRH6	6hmz
A0A078K1U6	4rmp
A0A078K4M9	4rmp
A0A078N0N2	2mmv
A0A078SSU5	6d1p
A0A078SUX9	5uj6;6d50;6d8g
A0A080FHH4	7d7c;7d7d
A0A080FKA9	6pj6;6u48
A0A080FR68	6osk;6osq
A0A080FXI0	6nlp
A0A080IK26	6o7k;6osk;6osq;6vu3;6vz3;6vz7;6wd0;6wd1;6wd2;6wd3;6wd4;6wd5;6wd7;6wd8;6wd9;6wda
A0A080IK54	6osq
A0A081CEG8	5knl
A0A081YAN7	5kqt
A0A081YAY5	4uhm;4uhn;4uho
A0A081YAY7	5tjr
A0A083ZID3	6ije;6ijf
A0A083ZID4	6ijf
A0A083ZJN8	5j9r
A0A083ZKV2	5ohs;5ohy
A0A083ZM39	7cnp;7cnq;7d2r
A0A083ZM57	6epy;6epz;6eq0;6eq1;6eq8
A0A084CH09	5cos;6ovk;6ovm
A0A084CH10	6ovk;6ovm
A0A084FYP2	6trv
A0A084JZF2	6d2c;6d3u
A0A085GHR3	6pwd;6pwg
A0A085LU44	6g9c;6g9e
A0A085NFU1	6v4m
A0A085S0Z4	7npe;7npf
A0A086HZU3	6ic4;7d06;7d08;7d09;7d0a
A0A086SLX8	5cxk
A0A086SY89	5mrj
A0A086T6R4	5m2d
A0A087FVZ6	5ui8
A0A087I947	5b70;5b7d;5b7h;5x0q;5x0v
A0A087IFK6	6i1y
A0A087IKW3	7a05
A0A087IWB4	5fhk;5x0n;5x0o
A0A087KD84	6a7i
A0A087L9L7	6spb;6spd;6spf;6spg
A0A087LGV4	6tgj;6tpq;6z2b
A0A087WNH1	3wfl
A0A087WNH2	4cuo
A0A087WNH4	3jag;3jah;3jai;5lzu;6ftg;6fti;6ftj;6p4g;6p4h;6p5i;6p5j;6p5k;6p5n;6r5q;6r6g;6r6p;6r7q;6sgc;6t59;6yal;6yam;6yan;6zvk;7a01;7mdz;7nfx;7nwg;7nwh;7nwi;7o7y;7o7z;7o80;7o81;7obr
A0A087WNH6	4lvc;5m5k;5m65;5m66;5m67;6exi
A0A087WNH8	4p15
A0A087WT01	5hhm;5hho
A0A087X2I1	6wjd
A0A088BCU2	5xd0
A0A088BEK2	6idd
A0A088CB91	4rnc
A0A088E2H7	6ihd;6ihe
A0A088F913	6tsd
A0A088FLK9	6fhg
A0A088STQ5	4po4
A0A088T0J9	4zzt;4zzu;4zzv;4zzw;5amp
A0A089M3R3	6p2n
A0A090A233	6ox6
A0A090BWT0	5h4s
A0A090BZT4	6lkq;6o7k
A0A090BZW5	6ztj;6ztm;6ztn;6zto;6ztp;6zu1
A0A090CRQ5	4y6c;4y6w
A0A090F1W4	6wns
A0A090KI56	4r4x;4r4z
A0A090KS30	6ztu;6zu3;7azu
A0A090SK43	6j75;6j76
A0A091SV96	5lus
A0A093VKV7	5csd;5fb7;6j6f
A0A094NJQ6	6pjx
A0A094YZ24	5yo8;6loo;6lop
A0A094ZWQ2	5tiv;5tiw;5tix;5tiy;6b51;6b52;6b53;6b54;6uuy
A0A095T5Z8	7lgn
A0A096F4H2	6uvu
A0A096LNF0	4mkr;4nh4;4we3;4wgg
A0A096LNF1	4w7i
A0A096P8D3	6ixl;6ixn;6ixt;7e2w
A0A096SRM5	6lf6
A0A096YGU7	6j5f
A0A096ZH83	6n0a
A0A096ZHB0	6bbw
A0A097BW12	6crp;6crr;6crs;6cru;6cs3;6cs4;6cs5;6cs6;6csa;6csg;6csh;6mzi;6wds;6wdt;7ebr;7ebz;7ec5;7ecy
A0A097BW19	7jre
A0A097F4I8	7ckl;7ela
A0A097F4L1	6klc;7ckl;7ela
A0A097F8N9	6x2k
A0A097F8Q2	6aj0;6aj2;6aj3;6aj7;6aj9
A0A097I2B5	7n8n
A0A097I2D0	7n8n
A0A097J792	5x33
A0A097J809	6e67;6ni3;7kwa
A0A097P1P8	6vvg
A0A097P6E1	6kv2
A0A097PF39	4o5n
A0A097PHH8	5v2a;6fyu
A0A097PIE2	5k5m
A0A097PIK3	6bwx
A0A097ZPD5	5zm2;5zm3;5zm4
A0A098DND1	6yjo
A0A098SKQ8	6jf4;6jf5
A0A0A0BZU2	6qzo
A0A0A0FFH2	6vz7;6vzj
A0A0A0G274	7mdx
A0A0A0GWV9	6vz7
A0A0A0L4Q9	6wqj
A0A0A0NH71	6p2o
A0A0A0NSZ7	6l39;6l3a
A0A0A0Q7Z8	6lc7;6lc8;6lc9
A0A0A0QA66	4rvp
A0A0A0R5X6	4rg8
A0A0A0RCB5	6a2a;6a2c;6a2d
A0A0A0RDR2	6a1d;6a1e;6a1i;6a3x;6k16;6o9p;6o9q
A0A0A0U7Z7	6djy
A0A0A0U955	6djy
A0A0A0UEE5	6djy
A0A0A0UVH9	6omp;6omq;6omr
A0A0A0UVL0	5f1p
A0A0A0V023	5unc
A0A0A0V031	5e7q;5upq;5ups;5upt
A0A0A0V2B6	2ndn
A0A0A0V633	5fzx
A0A0A0V662	5fzv
A0A0A0VBR5	5fzw
A0A0A0VBX4	4x9z
A0A0A0VDJ9	5epd
A0A0A0WDC6	6ket
A0A0A0Y4H8	4usc
A0A0A0YMQ9	5ah0
A0A0A1E0U0	6imj;6imk;6iml;6imn
A0A0A1E3N6	7cpw
A0A0A1EQY0	5dn9;5dna;6d4b;6d4c
A0A0A1GL90	6lce;6lcf
A0A0A1GYE8	7ju4
A0A0A1H1F6	7ju4
A0A0A1HA03	6llg;6llw;6llz;7cyw
A0A0A1NDE2	5xxa
A0A0A1VBK6	4yf9;4yfa;4yfb;5c9i
A0A0A2ACP7	6rar;6ras;6rau;6rce
A0A0A5P8W7	5d5s;5e4z;5k30;5m3z;6egr;6s0c
A0A0A6YVN3	3wvq;3wvr
A0A0A6YVN5	3wyd
A0A0A6YVN6	4d05
A0A0A6YVN8	4q7i
A0A0A6YX08	4mvb;4mxq;4n0c;4n5e
A0A0A7CJV4	5f4m;5o02
A0A0A7CK57	6ky2;6ky3
A0A0A7DJ81	6hxx
A0A0A7EMW6	6n3r;6n44
A0A0A7EQR3	6rtv;6ru1;6ru2;6rv7;6rv8;6rv9
A0A0A7GEY4	5jfq
A0A0A7GJ30	5cm0;5e25
A0A0A7HF73	6fjw
A0A0A7HFE1	6nud;6nue
A0A0A7HGA1	6nud;6nue
A0A0A7HIF0	6nud;6nue
A0A0A7HIX1	6nud;6nue
A0A0A7HR51	6tjw;6tjy;6tva;6tvb;6tvc;6tvd;6tvf;6tvr;6tvs;6tvt;6twh;6twi;6tws;6twv;6txo;6ty1
A0A0A7I0A5	6jko;6jkp
A0A0A7I3C6	6xcj
A0A0A7I435	6jix
A0A0A7JLK4	6vox
A0A0A7M685	5ldu
A0A0A7XPH7	6k21;6k27;6ki7;6ki8
A0A0A8F713	4k40
A0A0A8IBJ8	5b5l;5b5s
A0A0A8IK66	3wob;3woc
A0A0A8R8E6	6eu8
A0A0A8RA06	6cxb
A0A0A8UKD4	6wqb;6wqc
A0A0A8WFP6	3pl6
A0A0A8XFY0	6a37
A0A0B0DHJ1	6ywe;6ywy
A0A0B0DIC8	6n1y;6n20;6n21
A0A0B0DIK4	6ywe;6ywy
A0A0B0DJ04	6ywe;6ywy
A0A0B0DJN7	6ywe;6ywy
A0A0B0DJR9	6ywe;6ywy
A0A0B0DK80	6ywe;6ywy
A0A0B0DKS9	6ywe;6ywy
A0A0B0DM93	6ywe;6yws;6ywy
A0A0B0DM95	6ywe;6ywy
A0A0B0DMU6	6ywe;6yws;6ywy
A0A0B0DNH1	6ywe;6ywy
A0A0B0DNQ5	6ywe;6ywy
A0A0B0DP65	6ywe;6ywy
A0A0B0DPP2	6ywe;6ywy
A0A0B0DQ90	6ywe;6ywy
A0A0B0DQD0	6ywe;6ywy
A0A0B0DQD8	6ywe;6ywy
A0A0B0DQR9	6ywe;6ywy
A0A0B0DRW6	6ywe;6ywy
A0A0B0DT83	6ywe;6ywy
A0A0B0DTH5	6ywe;6ywy
A0A0B0DTN8	6ywe;6ywy
A0A0B0DU00	6ywe;6ywy
A0A0B0DUU4	6ywe;6ywy
A0A0B0DW15	6ywe;6ywy
A0A0B0DWX0	6ywe;6yws;6ywv;6ywx;6ywy
A0A0B0DXI2	6ywe;6ywy
A0A0B0DXJ0	7nxf;7ny1
A0A0B0DXP8	6ywe;6ywy
A0A0B0DYB0	6ywe;6ywy
A0A0B0DZ96	6ywe;6ywy
A0A0B0E0Q5	6ywe;6ywy
A0A0B0E339	6ywe;6ywy
A0A0B0E388	6ywe;6ywy
A0A0B0E3D2	6ywe;6ywy
A0A0B0E462	6ywe;6ywy
A0A0B0E6P7	6ywe;6ywy
A0A0B0E7L9	6ywe;6ywy
A0A0B0E7P2	6ywe;6ywy
A0A0B0EAU9	6ywe;6ywy
A0A0B0ECJ7	6ywe;6ywy
A0A0B0ECK1	6ywe;6ywy
A0A0B0ED13	6ywe;6ywy
A0A0B0EDT5	7asi;7asx
A0A0B0EEW5	6ywe;6ywy
A0A0B0EF55	6ywe;6ywy
A0A0B0IKH9	6qu0
A0A0B0QJN8	7ae2;7ae9
A0A0B0QJR1	7ae2;7ae6;7ae8;7ae9
A0A0B0SD75	6znx
A0A0B0SG80	7omv;7omw;7omx;7omy;7omz;7on0
A0A0B0W5A7	5t86
A0A0B1KWV6	4z9c;4z9d
A0A0B2DZ94	6jsx
A0A0B3WH85	6wmr;6wmt
A0A0B4J184	2mix
A0A0B4J185	3wnv
A0A0B4J186	4o98
A0A0B4J187	4rnl
A0A0B4J1J9	4y16;4y2d;4y4f;4y4h;4y4k;4zak;6miv;6miy;6mj4;6mj6;6mja;6mji;6mjj;6mjq
A0A0B4J1L0	4jgj
A0A0B4J271	4wwk;5c07;5c08;5c09;5c0a;5c0b;5c0c;5hyj;6jxr
A0A0B4J272	6cph;6cql;6cqn;6cqq;6cqr
A0A0B4J274	5ks9;5ksa;5ksb
